Pot1,Pot2,PWM,Direccion
217,54,50,Horario
267,83,50,Horario
320,117,50,Horario
383,150,50,Horario
445,184,51,Horario
501,216,55,Horario
539,252,56,Horario
554,290,51,Horario
553,328,50,Horario
553,360,50,Horario
553,392,50,Horario
553,420,50,Horario
555,452,50,Horario
555,480,50,Horario
553,509,50,Horario
554,540,50,Horario
556,571,50,Antihorario
554,574,50,Antihorario
555,575,50,Antihorario
555,566,50,Antihorario
555,533,50,Horario
554,529,50,Horario
554,530,50,Horario
554,531,50,Horario
554,557,0,Detenido
554,565,50,Antihorario
553,565,50,Antihorario
554,565,50,Antihorario
554,556,0,Detenido
554,547,0,Detenido
554,547,0,Detenido
554,547,0,Detenido
554,547,0,Detenido
555,547,0,Detenido
555,547,0,Detenido
554,547,0,Detenido
554,547,0,Detenido
555,549,0,Detenido
559,547,50,Horario
579,547,50,Horario
609,547,50,Horario
646,551,50,Horario
682,580,50,Horario
707,612,50,Horario
713,639,50,Horario
721,672,50,Horario
713,703,50,Horario
713,733,50,Antihorario
713,737,50,Antihorario
714,735,50,Antihorario
712,723,50,Antihorario
716,693,50,Horario
717,691,50,Horario
717,691,50,Horario
717,697,50,Horario
716,725,0,Detenido
713,726,50,Antihorario
713,727,50,Antihorario
713,726,50,Antihorario
713,712,0,Detenido
713,702,50,Horario
713,702,50,Horario
713,702,50,Horario
713,703,50,Horario
714,733,50,Antihorario
713,735,50,Antihorario
712,733,50,Antihorario
713,726,50,Antihorario
714,692,50,Horario
715,692,50,Horario
714,691,50,Horario
715,693,50,Horario
715,723,0,Detenido
715,726,50,Antihorario
716,726,50,Antihorario
716,726,50,Antihorario
714,713,0,Detenido
714,704,50,Horario
